127.0.0.1 - - [10/Aug/2021:17:31:32 +0000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Aug/2021:17:31:37 +0000] "GET /com.school.mgt.system.Front.End/ HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [10/Aug/2021:17:31:37 +0000] "GET /com.school.mgt.system.Front.End/resources/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:17:31:57 +0000] "GET /com.school.mgt.system.Front.End/ HTTP/1.1" 200 3568
0:0:0:0:0:0:0:1 - - [10/Aug/2021:17:31:58 +0000] "GET /com.school.mgt.system.Front.End/resources/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2021:17:31:58 +0000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Aug/2021:17:32:07 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5733
0:0:0:0:0:0:0:1 - - [10/Aug/2021:17:32:25 +0000] "GET /com.school.mgt.system.Front.End/general/homeExample HTTP/1.1" 200 8337
0:0:0:0:0:0:0:1 - - [10/Aug/2021:17:32:48 +0000] "GET /com.school.mgt.system.Front.End/general/adminPageExample HTTP/1.1" 200 5733
0:0:0:0:0:0:0:1 - - [10/Aug/2021:17:32:57 +0000] "GET /com.school.mgt.system.Front.End/general/image HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [10/Aug/2021:17:39:56 +0000] "GET /com.school.mgt.system.Front.End/general/logIn HTTP/1.1" 200 2238
0:0:0:0:0:0:0:1 - - [10/Aug/2021:17:39:56 +0000] "GET /com.school.mgt.system.Front.End/resources/java.css HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [10/Aug/2021:17:40:02 +0000] "POST /com.school.mgt.system.Front.End/general/home HTTP/1.1" 200 5983
0:0:0:0:0:0:0:1 - - [10/Aug/2021:17:40:13 +0000] "GET /com.school.mgt.system.Front.End/schoolStudents/displayStudents HTTP/1.1" 200 3575
0:0:0:0:0:0:0:1 - - [10/Aug/2021:17:40:14 +0000] "GET /com.school.mgt.system.Front.End/resources/main.css HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [10/Aug/2021:17:40:14 +0000] "GET /com.school.mgt.system.Front.End/resources/datatables.min.js HTTP/1.1" 200 191436
0:0:0:0:0:0:0:1 - - [10/Aug/2021:17:40:14 +0000] "GET /com.school.mgt.system.Front.End/resources/datatables.min.css HTTP/1.1" 200 20656
